name
Triangle
Square
Pentagon
Hexagon
Heptagon
Octagon
Nonagon
Decagon
Hendecagon
Dodecagon
Triskaidecagon
Tetrakaidecagon
Pentadecagon
Hexakaidecagon
Heptadecagon
Octakaidecagon
Enneadecagon
Icosagon
